customer_id,meter_id,name,mobile_number,address,city,pincode,connection_type,tariff_plan,connection_date,id,reading_date,units,voltage,temperature,power_factor,load_kw,frequency_hz,phase,status
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,2428,2025-02-08 05:43:54.356176,34.339,215.95,38.33,0.873,2.87,49.966,Single,OK
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,2879,2025-08-29 20:11:04.302738,27.755,232.98,36.15,0.867,8.49,49.606,Three,OK
6,MTR0000006,Customer 6,6804404017,Address 6,Bhavnagar,387036,Industrial,LT-2,2021-03-25,494,2025-07-06 05:03:37.956658,1.266,234.33,25.31,0.889,7.852,50.129,Single,OK
6,MTR0000006,Customer 6,6804404017,Address 6,Bhavnagar,387036,Industrial,LT-2,2021-03-25,640,2025-07-27 23:34:08.068140,44.882,221.19,24.79,0.84,1.362,50.0,Three,OK
6,MTR0000006,Customer 6,6804404017,Address 6,Bhavnagar,387036,Industrial,LT-2,2021-03-25,2144,2025-01-30 13:30:15.263545,13.545,217.91,25.39,0.823,8.512,49.521,Three,OK
6,MTR0000006,Customer 6,6804404017,Address 6,Bhavnagar,387036,Industrial,LT-2,2021-03-25,2812,2025-10-28 02:25:44.626606,26.285,224.02,28.66,0.764,1.624,50.05,Three,OK
7,MTR0000007,Customer 7,6531941228,Address 7,Vadodara,411728,Commercial,LT-3,2024-03-24,1629,2025-01-03 11:23:42.038541,17.166,237.97,31.46,0.873,0.367,49.772,Three,OK
7,MTR0000007,Customer 7,6531941228,Address 7,Vadodara,411728,Commercial,LT-3,2024-03-24,2088,2024-12-03 08:54:57.255098,5.961,218.51,34.22,0.897,8.176,50.188,Single,OK
7,MTR0000007,Customer 7,6531941228,Address 7,Vadodara,411728,Commercial,LT-3,2024-03-24,2792,2025-10-09 20:03:27.006382,46.435,242.98,29.2,0.906,4.919,49.848,Three,OK
7,MTR0000007,Customer 7,6531941228,Address 7,Vadodara,411728,Commercial,LT-3,2024-03-24,2920,2025-02-01 11:21:50.467566,26.48,232.19,38.8,0.883,2.229,49.64,Three,OK
8,MTR0000008,Customer 8,6030426475,Address 8,Bhavnagar,416949,Domestic,HT-1,2023-05-18,1409,2025-10-31 08:48:53.103992,16.627,236.13,24.2,0.807,9.215,50.304,Single,OK
8,MTR0000008,Customer 8,6030426475,Address 8,Bhavnagar,416949,Domestic,HT-1,2023-05-18,1573,2025-07-06 07:36:35.759111,44.436,247.72,34.05,0.978,2.482,50.123,Single,CHECK
8,MTR0000008,Customer 8,6030426475,Address 8,Bhavnagar,416949,Domestic,HT-1,2023-05-18,2000,2025-08-25 19:48:05.053775,34.488,222.9,37.6,0.822,7.295,50.215,Single,OK
8,MTR0000008,Customer 8,6030426475,Address 8,Bhavnagar,416949,Domestic,HT-1,2023-05-18,2886,2025-02-03 12:36:13.764433,31.558,237.5,31.62,0.872,8.976,49.566,Three,OK
8,MTR0000008,Customer 8,6030426475,Address 8,Bhavnagar,416949,Domestic,HT-1,2023-05-18,2963,2025-04-11 12:07:58.633098,22.536,222.17,36.53,0.919,9.273,50.114,Single,OK
9,MTR0000009,Customer 9,6674982063,Address 9,Ahmedabad,401586,Industrial,LT-1,2024-03-10,434,2024-11-27 17:38:12.263076,11.007,244.9,20.4,0.815,4.914,50.068,Three,OK
9,MTR0000009,Customer 9,6674982063,Address 9,Ahmedabad,401586,Industrial,LT-1,2024-03-10,1410,2024-12-01 15:16:18.806591,10.844,229.77,25.01,0.784,5.978,49.575,Three,OK
10,MTR0000010,Customer 10,6174437837,Address 10,Vadodara,438563,Industrial,LT-3,2024-05-11,469,2025-07-23 22:26:48.258983,2.469,225.21,21.17,0.836,1.935,49.922,Three,OK
10,MTR0000010,Customer 10,6174437837,Address 10,Vadodara,438563,Industrial,LT-3,2024-05-11,2863,2024-11-30 02:49:28.641115,39.024,244.52,20.66,0.917,7.84,50.464,Three,OK
11,MTR0000011,Customer 11,6725271780,Address 11,Ahmedabad,402257,Domestic,LT-3,2020-11-05,191,2024-12-25 23:59:39.670911,45.275,236.67,39.61,0.981,3.929,50.274,Three,OK
11,MTR0000011,Customer 11,6725271780,Address 11,Ahmedabad,402257,Domestic,LT-3,2020-11-05,337,2025-03-15 19:33:43.466256,43.541,231.65,34.32,0.787,9.562,50.165,Three,OK
11,MTR0000011,Customer 11,6725271780,Address 11,Ahmedabad,402257,Domestic,LT-3,2020-11-05,418,2025-10-04 09:48:04.439273,41.079,212.8,35.6,0.766,7.337,49.734,Three,OK
12,MTR0000012,Customer 12,6858963464,Address 12,Surat,428599,Commercial,LT-3,2021-11-13,1804,2025-05-28 08:54:45.124067,0.732,219.56,28.59,0.867,8.898,50.47,Single,OK
12,MTR0000012,Customer 12,6858963464,Address 12,Surat,428599,Commercial,LT-3,2021-11-13,1844,2024-12-20 01:53:02.716806,36.004,233.52,28.88,0.917,4.791,49.637,Three,OK
12,MTR0000012,Customer 12,6858963464,Address 12,Surat,428599,Commercial,LT-3,2021-11-13,1985,2025-01-06 14:01:14.470005,41.893,225.88,28.57,0.835,9.3,50.083,Three,OK
13,MTR0000013,Customer 13,6394744637,Address 13,Ahmedabad,421516,Domestic,LT-2,2023-12-22,1122,2025-02-13 21:29:49.547480,18.212,217.95,28.63,0.977,3.29,50.29,Three,OK
13,MTR0000013,Customer 13,6394744637,Address 13,Ahmedabad,421516,Domestic,LT-2,2023-12-22,1418,2025-01-18 21:23:00.003574,24.676,248.22,28.51,0.822,6.094,50.404,Three,OK
13,MTR0000013,Customer 13,6394744637,Address 13,Ahmedabad,421516,Domestic,LT-2,2023-12-22,2449,2025-07-10 12:09:50.932856,41.702,243.64,38.79,0.931,5.441,49.895,Single,OK
14,MTR0000014,Customer 14,6175428859,Address 14,Bhavnagar,426386,Commercial,LT-1,2022-10-09,1454,2025-06-18 19:27:27.402601,39.382,241.91,27.06,0.792,4.544,49.759,Three,OK
14,MTR0000014,Customer 14,6175428859,Address 14,Bhavnagar,426386,Commercial,LT-1,2022-10-09,2805,2025-01-29 01:34:24.300236,23.041,224.91,31.9,0.825,2.03,50.358,Three,OK
15,MTR0000015,Customer 15,6533801729,Address 15,Ahmedabad,389014,Domestic,LT-3,2024-07-12,58,2025-07-22 07:37:26.378721,40.639,222.72,34.16,0.852,3.897,49.548,Single,OK
15,MTR0000015,Customer 15,6533801729,Address 15,Ahmedabad,389014,Domestic,LT-3,2024-07-12,133,2025-11-07 18:28:40.904077,48.451,226.51,37.32,0.815,1.434,49.641,Three,OK
15,MTR0000015,Customer 15,6533801729,Address 15,Ahmedabad,389014,Domestic,LT-3,2024-07-12,1436,2025-05-06 17:58:02.837729,4.349,234.37,30.45,0.951,7.792,50.072,Single,OK
15,MTR0000015,Customer 15,6533801729,Address 15,Ahmedabad,389014,Domestic,LT-3,2024-07-12,1609,2025-02-07 02:13:56.023466,16.654,232.68,39.11,0.969,7.027,50.132,Three,OK
15,MTR0000015,Customer 15,6533801729,Address 15,Ahmedabad,389014,Domestic,LT-3,2024-07-12,1888,2025-05-06 00:22:48.933719,28.99,237.84,30.15,0.807,5.018,49.653,Three,OK
16,MTR0000016,Customer 16,6310892608,Address 16,Surat,432788,Industrial,LT-3,2021-01-19,663,2024-12-02 07:26:43.269634,44.902,232.67,35.76,0.93,2.968,50.249,Single,OK
17,MTR0000017,Customer 17,6418266368,Address 17,Bhavnagar,429445,Domestic,LT-3,2021-03-22,208,2025-11-08 18:42:05.631632,8.604,246.56,38.25,0.793,9.457,49.748,Three,OK
17,MTR0000017,Customer 17,6418266368,Address 17,Bhavnagar,429445,Domestic,LT-3,2021-03-22,678,2025-11-17 22:00:02.990843,25.193,220.32,33.59,0.897,8.97,49.519,Single,OK
17,MTR0000017,Customer 17,6418266368,Address 17,Bhavnagar,429445,Domestic,LT-3,2021-03-22,1033,2025-07-09 01:30:08.454702,47.708,240.78,38.57,0.798,6.936,50.192,Three,OK
17,MTR0000017,Customer 17,6418266368,Address 17,Bhavnagar,429445,Domestic,LT-3,2021-03-22,1575,2025-10-05 05:54:44.778630,16.096,213.84,27.0,0.808,4.169,49.956,Three,OK
17,MTR0000017,Customer 17,6418266368,Address 17,Bhavnagar,429445,Domestic,LT-3,2021-03-22,2453,2025-07-15 03:44:35.785845,33.522,245.51,23.14,0.927,2.433,49.524,Single,OK
17,MTR0000017,Customer 17,6418266368,Address 17,Bhavnagar,429445,Domestic,LT-3,2021-03-22,2596,2025-08-27 17:57:00.184172,3.466,229.96,30.56,0.911,4.316,49.825,Three,OK
18,MTR0000018,Customer 18,6737491785,Address 18,Vadodara,407905,Industrial,LT-1,2020-11-26,443,2024-12-06 05:11:52.944685,48.478,211.69,31.94,0.849,0.575,50.177,Single,OK
18,MTR0000018,Customer 18,6737491785,Address 18,Vadodara,407905,Industrial,LT-1,2020-11-26,1374,2025-03-16 13:43:08.659250,29.359,215.52,38.92,0.805,4.785,50.44,Three,OK
18,MTR0000018,Customer 18,6737491785,Address 18,Vadodara,407905,Industrial,LT-1,2020-11-26,2052,2025-08-08 19:03:48.415249,5.927,241.97,23.57,0.923,0.934,49.797,Single,CHECK
19,MTR0000019,Customer 19,6195736751,Address 19,Ahmedabad,409148,Domestic,LT-3,2025-04-05,1275,2025-04-11 08:48:47.595665,10.431,231.97,29.51,0.843,8.0,50.188,Single,OK
20,MTR0000020,Customer 20,6332142738,Address 20,Ahmedabad,384301,Domestic,HT-1,2024-08-03,838,2025-05-30 11:47:02.316618,42.397,212.84,30.79,0.757,5.147,50.093,Three,OK
21,MTR0000021,Customer 21,6905970067,Address 21,Surat,416805,Domestic,LT-1,2025-10-21,736,2025-08-02 18:34:31.379302,2.213,221.12,38.04,0.797,3.025,49.758,Three,CHECK
22,MTR0000022,Customer 22,6462893916,Address 22,Bhavnagar,422919,Domestic,LT-3,2021-06-11,918,2025-08-26 18:38:01.048367,35.72,248.96,24.28,0.945,7.724,49.908,Three,OK
22,MTR0000022,Customer 22,6462893916,Address 22,Bhavnagar,422919,Domestic,LT-3,2021-06-11,2375,2025-04-29 12:02:09.768211,37.964,247.6,27.4,0.863,7.309,49.517,Single,OK
23,MTR0000023,Customer 23,6167120235,Address 23,Bhavnagar,396381,Industrial,LT-3,2023-10-09,415,2025-07-28 05:14:12.912119,48.914,234.04,24.22,0.764,0.058,49.558,Three,OK
23,MTR0000023,Customer 23,6167120235,Address 23,Bhavnagar,396381,Industrial,LT-3,2023-10-09,1426,2025-07-25 10:37:35.207167,49.733,216.05,36.17,0.814,2.431,49.559,Three,OK
23,MTR0000023,Customer 23,6167120235,Address 23,Bhavnagar,396381,Industrial,LT-3,2023-10-09,2666,2024-11-29 07:03:59.680442,46.471,231.26,29.88,0.924,6.867,49.573,Single,OK
24,MTR0000024,Customer 24,6082482692,Address 24,Vadodara,404425,Domestic,LT-3,2022-09-12,432,2025-04-15 04:44:11.344660,11.937,242.01,33.82,0.796,2.162,49.7,Three,OK
24,MTR0000024,Customer 24,6082482692,Address 24,Vadodara,404425,Domestic,LT-3,2022-09-12,1081,2025-06-24 15:11:00.921492,43.799,224.14,28.81,0.881,5.005,49.98,Three,OK
24,MTR0000024,Customer 24,6082482692,Address 24,Vadodara,404425,Domestic,LT-3,2022-09-12,2090,2025-04-19 23:24:44.571785,38.06,243.84,33.87,0.784,9.272,50.033,Three,OK
24,MTR0000024,Customer 24,6082482692,Address 24,Vadodara,404425,Domestic,LT-3,2022-09-12,2206,2025-09-02 03:50:31.018666,4.799,249.9,29.55,0.964,7.081,49.671,Single,OK
24,MTR0000024,Customer 24,6082482692,Address 24,Vadodara,404425,Domestic,LT-3,2022-09-12,2774,2025-06-06 12:33:26.787480,30.237,225.55,27.34,0.933,3.171,49.546,Single,OK
25,MTR0000025,Customer 25,6266202491,Address 25,Surat,396493,Domestic,LT-3,2024-12-08,510,2025-04-03 23:13:47.497072,22.857,224.3,33.34,0.833,3.887,50.32,Single,CHECK
25,MTR0000025,Customer 25,6266202491,Address 25,Surat,396493,Domestic,LT-3,2024-12-08,706,2025-04-16 06:35:00.952523,25.355,230.42,23.69,0.808,9.194,49.846,Three,OK
25,MTR0000025,Customer 25,6266202491,Address 25,Surat,396493,Domestic,LT-3,2024-12-08,1261,2025-08-21 04:36:22.568560,17.002,223.41,39.33,0.85,2.589,50.006,Single,OK
25,MTR0000025,Customer 25,6266202491,Address 25,Surat,396493,Domestic,LT-3,2024-12-08,1652,2025-07-25 12:27:39.804498,15.581,213.9,31.9,0.991,2.298,50.175,Single,OK
26,MTR0000026,Customer 26,6159695629,Address 26,Vadodara,395372,Commercial,LT-3,2024-08-15,1096,2025-03-23 07:11:54.162891,29.001,212.07,29.52,0.951,9.322,50.464,Three,OK
26,MTR0000026,Customer 26,6159695629,Address 26,Vadodara,395372,Commercial,LT-3,2024-08-15,2565,2025-01-12 06:35:17.917866,23.551,218.2,21.69,0.934,3.356,50.4,Three,OK
27,MTR0000027,Customer 27,6381034042,Address 27,Rajkot,405319,Industrial,LT-2,2025-01-26,2352,2025-08-01 10:43:26.909052,28.405,243.44,23.03,0.931,7.739,49.88,Single,OK
28,MTR0000028,Customer 28,6418734396,Address 28,Bhavnagar,381332,Commercial,LT-2,2025-02-26,2620,2025-09-11 06:04:06.721606,12.824,240.57,23.64,0.939,1.839,50.488,Three,OK
29,MTR0000029,Customer 29,6797139786,Address 29,Rajkot,399467,Commercial,LT-2,2021-08-18,600,2024-12-08 20:21:58.835680,5.501,219.53,26.58,0.996,3.646,49.798,Three,OK
29,MTR0000029,Customer 29,6797139786,Address 29,Rajkot,399467,Commercial,LT-2,2021-08-18,1014,2025-03-08 16:25:29.377994,16.729,246.66,20.91,0.901,8.289,50.049,Single,CHECK
29,MTR0000029,Customer 29,6797139786,Address 29,Rajkot,399467,Commercial,LT-2,2021-08-18,1090,2025-10-16 15:27:41.136859,10.359,244.72,28.03,0.897,4.89,49.895,Three,OK
30,MTR0000030,Customer 30,6828233409,Address 30,Surat,408091,Domestic,HT-1,2025-08-26,193,2024-12-23 19:42:29.891265,35.188,233.3,27.48,0.989,0.703,49.895,Three,OK
31,MTR0000031,Customer 31,6271540481,Address 31,Bhavnagar,383924,Domestic,HT-1,2022-05-19,1060,2025-03-21 21:07:40.259303,0.867,241.88,34.36,0.89,1.614,50.454,Single,OK
31,MTR0000031,Customer 31,6271540481,Address 31,Bhavnagar,383924,Domestic,HT-1,2022-05-19,1791,2025-03-30 09:09:54.255639,2.24,227.49,25.78,0.99,0.878,49.784,Single,OK
31,MTR0000031,Customer 31,6271540481,Address 31,Bhavnagar,383924,Domestic,HT-1,2022-05-19,2549,2025-02-08 15:32:56.941920,27.9,224.76,21.58,0.988,1.729,50.263,Single,OK
32,MTR0000032,Customer 32,6916180286,Address 32,Bhavnagar,420084,Domestic,LT-3,2025-02-08,444,2025-10-27 23:42:34.187930,17.362,226.76,39.36,0.835,5.516,49.751,Three,OK
32,MTR0000032,Customer 32,6916180286,Address 32,Bhavnagar,420084,Domestic,LT-3,2025-02-08,1608,2025-08-19 04:35:47.497800,0.751,241.85,25.15,0.778,3.522,49.839,Single,OK
32,MTR0000032,Customer 32,6916180286,Address 32,Bhavnagar,420084,Domestic,LT-3,2025-02-08,2109,2025-03-28 22:58:49.136639,26.736,223.08,21.52,0.872,9.89,50.097,Three,OK
32,MTR0000032,Customer 32,6916180286,Address 32,Bhavnagar,420084,Domestic,LT-3,2025-02-08,2295,2025-01-17 17:17:49.865078,22.088,237.28,23.2,0.997,5.521,50.02,Three,OK
33,MTR0000033,Customer 33,6142367778,Address 33,Rajkot,432046,Domestic,LT-2,2020-07-22,61,2025-06-27 02:28:53.594345,32.607,239.18,33.77,0.787,7.406,49.758,Single,CHECK
33,MTR0000033,Customer 33,6142367778,Address 33,Rajkot,432046,Domestic,LT-2,2020-07-22,1965,2025-05-04 03:28:57.899555,23.727,222.98,29.85,0.892,9.818,50.421,Three,OK
34,MTR0000034,Customer 34,6450363128,Address 34,Vadodara,411230,Industrial,LT-3,2021-05-25,943,2025-07-29 20:48:46.186746,49.453,215.83,22.86,0.827,6.72,50.317,Three,OK
34,MTR0000034,Customer 34,6450363128,Address 34,Vadodara,411230,Industrial,LT-3,2021-05-25,1135,2025-07-20 18:55:41.621932,21.434,237.17,36.24,0.958,8.88,49.612,Three,OK
34,MTR0000034,Customer 34,6450363128,Address 34,Vadodara,411230,Industrial,LT-3,2021-05-25,1445,2025-10-25 14:46:20.622458,8.73,228.07,35.24,0.825,6.911,49.55,Single,CHECK
34,MTR0000034,Customer 34,6450363128,Address 34,Vadodara,411230,Industrial,LT-3,2021-05-25,1867,2024-12-16 10:07:05.906953,8.21,237.76,38.83,0.857,1.451,49.65,Three,OK
34,MTR0000034,Customer 34,6450363128,Address 34,Vadodara,411230,Industrial,LT-3,2021-05-25,1895,2025-11-06 16:32:47.974326,45.032,240.4,28.36,0.922,8.077,49.589,Single,OK
34,MTR0000034,Customer 34,6450363128,Address 34,Vadodara,411230,Industrial,LT-3,2021-05-25,2023,2025-05-30 03:52:46.383935,28.373,215.66,26.06,0.826,7.17,49.578,Single,OK
34,MTR0000034,Customer 34,6450363128,Address 34,Vadodara,411230,Industrial,LT-3,2021-05-25,2801,2025-02-20 12:39:36.226316,20.064,232.07,35.87,0.907,7.916,49.904,Single,OK
35,MTR0000035,Customer 35,6726866584,Address 35,Rajkot,429064,Industrial,HT-1,2023-09-19,1711,2024-11-28 23:59:56.372335,21.226,214.26,34.6,0.843,8.451,49.571,Single,OK
35,MTR0000035,Customer 35,6726866584,Address 35,Rajkot,429064,Industrial,HT-1,2023-09-19,1822,2025-02-14 23:07:27.789749,3.845,246.15,23.2,0.757,5.028,50.259,Single,OK
35,MTR0000035,Customer 35,6726866584,Address 35,Rajkot,429064,Industrial,HT-1,2023-09-19,2411,2025-06-03 14:44:21.632733,9.008,246.21,31.57,0.865,1.363,50.197,Three,OK
35,MTR0000035,Customer 35,6726866584,Address 35,Rajkot,429064,Industrial,HT-1,2023-09-19,2895,2025-07-17 14:48:00.105565,43.201,223.24,35.45,0.886,6.555,50.206,Three,OK
36,MTR0000036,Customer 36,6389771003,Address 36,Ahmedabad,417781,Industrial,LT-3,2021-11-05,66,2025-07-20 04:37:26.126662,25.173,245.03,35.17,0.828,3.849,50.14,Single,OK
36,MTR0000036,Customer 36,6389771003,Address 36,Ahmedabad,417781,Industrial,LT-3,2021-11-05,388,2025-08-18 13:48:21.207007,44.171,243.85,22.26,0.827,9.231,50.13,Three,OK
36,MTR0000036,Customer 36,6389771003,Address 36,Ahmedabad,417781,Industrial,LT-3,2021-11-05,664,2025-04-09 00:02:21.652707,14.376,221.01,21.35,0.873,5.735,49.777,Three,CHECK
36,MTR0000036,Customer 36,6389771003,Address 36,Ahmedabad,417781,Industrial,LT-3,2021-11-05,2310,2025-10-20 11:20:54.433613,49.705,245.25,23.3,0.968,5.584,50.306,Three,OK
36,MTR0000036,Customer 36,6389771003,Address 36,Ahmedabad,417781,Industrial,LT-3,2021-11-05,2824,2025-10-29 08:55:41.318858,49.505,223.02,25.85,0.999,1.388,49.686,Three,OK
37,MTR0000037,Customer 37,6435850613,Address 37,Surat,420097,Domestic,LT-1,2025-01-02,56,2025-10-18 11:49:52.853608,32.412,218.89,29.53,0.832,7.231,50.147,Single,OK
37,MTR0000037,Customer 37,6435850613,Address 37,Surat,420097,Domestic,LT-1,2025-01-02,453,2025-11-06 22:18:06.946693,9.146,234.13,32.33,0.779,4.523,49.634,Three,OK
37,MTR0000037,Customer 37,6435850613,Address 37,Surat,420097,Domestic,LT-1,2025-01-02,1699,2025-03-28 15:01:04.607018,22.955,215.32,23.71,0.783,0.869,49.609,Three,OK
38,MTR0000038,Customer 38,6042670128,Address 38,Ahmedabad,418043,Industrial,HT-1,2025-10-03,646,2024-11-23 12:55:59.915281,18.448,230.99,37.47,0.917,6.843,50.261,Single,CHECK
38,MTR0000038,Customer 38,6042670128,Address 38,Ahmedabad,418043,Industrial,HT-1,2025-10-03,1726,2025-10-09 06:57:21.768162,14.531,240.61,23.13,0.794,6.266,49.787,Three,OK
38,MTR0000038,Customer 38,6042670128,Address 38,Ahmedabad,418043,Industrial,HT-1,2025-10-03,2362,2025-09-10 11:10:26.477972,11.267,249.61,30.26,0.912,5.763,49.604,Single,OK
38,MTR0000038,Customer 38,6042670128,Address 38,Ahmedabad,418043,Industrial,HT-1,2025-10-03,2383,2025-10-19 15:37:55.425378,48.195,247.01,33.66,0.943,3.389,49.996,Single,OK
38,MTR0000038,Customer 38,6042670128,Address 38,Ahmedabad,418043,Industrial,HT-1,2025-10-03,2391,2025-02-28 23:00:32.052691,19.302,229.54,21.11,0.93,5.741,50.285,Single,OK
39,MTR0000039,Customer 39,6750663907,Address 39,Ahmedabad,427335,Industrial,LT-3,2022-07-22,88,2025-04-28 10:53:10.035264,2.373,246.19,39.78,0.86,3.878,49.628,Single,OK
39,MTR0000039,Customer 39,6750663907,Address 39,Ahmedabad,427335,Industrial,LT-3,2022-07-22,366,2024-12-22 19:28:47.144638,25.818,248.83,21.09,0.947,0.164,50.275,Single,OK
40,MTR0000040,Customer 40,6585088318,Address 40,Surat,430040,Industrial,LT-1,2021-06-29,412,2025-04-04 07:50:25.163811,31.964,218.77,26.2,0.95,9.115,49.973,Three,OK
40,MTR0000040,Customer 40,6585088318,Address 40,Surat,430040,Industrial,LT-1,2021-06-29,2154,2024-12-07 21:44:35.986340,7.074,233.36,32.56,0.878,8.419,50.363,Single,OK
40,MTR0000040,Customer 40,6585088318,Address 40,Surat,430040,Industrial,LT-1,2021-06-29,2208,2025-06-15 00:38:10.769831,39.099,247.73,34.08,0.971,2.976,50.425,Three,OK
40,MTR0000040,Customer 40,6585088318,Address 40,Surat,430040,Industrial,LT-1,2021-06-29,2498,2025-01-13 09:11:39.928913,48.696,214.68,27.66,0.84,0.847,49.684,Three,OK
40,MTR0000040,Customer 40,6585088318,Address 40,Surat,430040,Industrial,LT-1,2021-06-29,2738,2024-12-09 11:13:54.709523,12.193,226.32,22.6,0.885,4.942,50.147,Three,OK
41,MTR0000041,Customer 41,6552861281,Address 41,Ahmedabad,406467,Commercial,HT-1,2024-02-22,938,2024-12-06 02:12:04.173300,12.389,218.69,26.05,0.901,2.636,49.607,Three,OK
41,MTR0000041,Customer 41,6552861281,Address 41,Ahmedabad,406467,Commercial,HT-1,2024-02-22,1237,2025-05-09 20:32:04.771455,0.067,236.14,29.6,0.84,2.343,49.989,Single,OK
41,MTR0000041,Customer 41,6552861281,Address 41,Ahmedabad,406467,Commercial,HT-1,2024-02-22,1256,2025-05-02 18:53:11.291464,4.687,244.45,31.11,0.926,5.432,50.051,Single,OK
41,MTR0000041,Customer 41,6552861281,Address 41,Ahmedabad,406467,Commercial,HT-1,2024-02-22,2986,2025-06-17 06:37:46.042002,40.42,214.16,30.44,0.798,9.189,49.788,Three,CHECK
42,MTR0000042,Customer 42,6886271227,Address 42,Vadodara,382689,Commercial,LT-2,2022-02-14,377,2025-11-10 01:07:07.403352,27.053,232.14,39.33,0.929,0.079,50.355,Three,CHECK
42,MTR0000042,Customer 42,6886271227,Address 42,Vadodara,382689,Commercial,LT-2,2022-02-14,635,2025-06-30 20:36:03.185183,42.533,244.47,33.02,0.883,6.941,50.408,Single,OK
42,MTR0000042,Customer 42,6886271227,Address 42,Vadodara,382689,Commercial,LT-2,2022-02-14,1240,2025-11-09 13:05:46.449238,21.757,223.94,25.79,0.777,7.836,49.942,Three,OK
